F11,F22,F33,F12,F13,F23,F21,F31,F32,elVol
0.990840,1.023574,0.991439,0.033931,-0.001431,0.003411,-0.006735,0.001598,-0.025809,-0.000125
0.985160,1.030919,0.985870,0.020719,-0.003053,0.005735,-0.015317,0.002514,-0.004115,-0.000125
0.987357,1.027642,0.987625,0.019617,-0.002547,0.004025,-0.017542,0.001396,0.001681,-0.000125
0.984569,1.033721,0.984642,0.018097,-0.000738,0.005133,-0.019848,0.000936,0.004573,-0.000125
0.980293,1.044265,0.980219,0.016278,-0.002235,0.013334,-0.026585,-0.002904,0.004429,-0.000125
0.967308,1.074269,0.965892,0.021833,0.007712,0.035904,-0.046268,0.006821,-0.006489,-0.000125
0.952194,1.112761,0.951850,0.023458,-0.020982,0.096935,-0.097276,-0.022647,-0.021000,-0.000125
0.915849,1.150821,0.887701,0.114194,0.023987,0.360652,-0.355024,0.059603,-0.122639,-0.000125
0.990132,1.019719,0.995587,0.036371,-0.001010,0.000444,-0.006789,0.000664,-0.012835,-0.000125
0.983937,1.029281,0.989660,0.021052,-0.002160,0.003612,-0.015286,0.001406,-0.005592,-0.000125
0.987175,1.026693,0.988699,0.018411,-0.001793,0.007908,-0.016714,0.001073,0.002365,-0.000125
0.985702,1.027870,0.989166,0.016799,-0.001098,0.013601,-0.018733,-0.000639,0.006405,-0.000125
0.984540,1.030551,0.988490,0.015860,0.002115,0.024966,-0.021890,-0.001960,0.007696,-0.000125
0.979179,1.038292,0.987026,0.016211,-0.001791,0.052087,-0.034944,-0.007501,0.006036,-0.000125
0.980809,1.032063,0.988654,0.037686,0.018296,0.107731,-0.080654,-0.024728,-0.021112,-0.000125
1.020587,0.982800,0.988025,0.026049,0.047244,0.092733,-0.020883,-0.046507,-0.057748,-0.000125
0.989667,1.018485,0.997474,0.037776,-0.000395,0.000790,-0.006913,0.000332,-0.005896,-0.000125
0.983522,1.025365,0.993720,0.021303,-0.000900,0.002772,-0.015048,0.000688,-0.002850,-0.000125
0.987152,1.022678,0.992797,0.017883,-0.000990,0.006407,-0.016184,0.000457,0.001507,-0.000125
0.987387,1.020497,0.994455,0.015431,0.000212,0.012102,-0.016013,-0.000719,0.005137,-0.000125
0.987633,1.017469,0.997263,0.014258,-0.000032,0.021192,-0.018482,-0.002192,0.006830,-0.000125
0.988864,1.010427,1.003176,0.016344,0.005343,0.035018,-0.024776,-0.009823,0.002453,-0.000125
0.995828,1.002203,1.000718,0.012763,0.010047,0.037099,-0.012612,-0.013533,-0.016699,-0.000125
1.002079,1.017996,0.977302,0.017393,0.014678,0.046760,-0.021795,-0.002868,-0.038117,-0.000125
0.989654,1.017556,0.998315,0.038225,-0.000054,0.000139,-0.006932,0.000089,-0.001685,-0.000125
0.983391,1.023433,0.995819,0.021578,-0.000274,0.001020,-0.015062,0.000238,-0.000811,-0.000125
0.987377,1.019490,0.995609,0.017489,-0.000066,0.002506,-0.015495,-0.000047,0.000601,-0.000125
0.988076,1.015906,0.998102,0.014916,-0.000358,0.004590,-0.015225,0.000146,0.001892,-0.000125
0.989814,1.009346,1.002682,0.013538,0.001123,0.008213,-0.015387,-0.002133,0.002687,-0.000125
0.992853,1.003676,1.004367,0.011635,0.001176,0.009261,-0.012886,-0.002326,-0.001002,-0.000125
0.998163,1.003637,0.998474,0.011485,0.002458,0.012496,-0.013442,-0.001378,-0.004891,-0.000125
1.007635,1.008028,0.982773,0.008536,0.007962,0.011368,-0.008016,-0.004954,-0.010809,-0.000125
0.989654,1.017556,0.998315,0.038225,0.000054,-0.000139,-0.006932,-0.000089,0.001685,-0.000125
0.983391,1.023433,0.995819,0.021578,0.000274,-0.001020,-0.015062,-0.000238,0.000811,-0.000125
0.987377,1.019490,0.995609,0.017489,0.000066,-0.002506,-0.015495,0.000047,-0.000601,-0.000125
0.988076,1.015906,0.998102,0.014916,0.000358,-0.004590,-0.015225,-0.000146,-0.001892,-0.000125
0.989814,1.009346,1.002682,0.013538,-0.001123,-0.008213,-0.015387,0.002133,-0.002687,-0.000125
0.992853,1.003676,1.004367,0.011635,-0.001176,-0.009261,-0.012886,0.002326,0.001002,-0.000125
0.998163,1.003637,0.998474,0.011485,-0.002458,-0.012496,-0.013442,0.001378,0.004891,-0.000125
1.007635,1.008028,0.982773,0.008536,-0.007962,-0.011368,-0.008016,0.004954,0.010809,-0.000125
0.989667,1.018485,0.997474,0.037776,0.000395,-0.000790,-0.006913,-0.000332,0.005896,-0.000125
0.983522,1.025365,0.993720,0.021303,0.000900,-0.002772,-0.015048,-0.000688,0.002850,-0.000125
0.987152,1.022678,0.992797,0.017883,0.000990,-0.006407,-0.016184,-0.000457,-0.001507,-0.000125
0.987387,1.020497,0.994455,0.015431,-0.000212,-0.012102,-0.016013,0.000719,-0.005137,-0.000125
0.987633,1.017469,0.997263,0.014258,0.000032,-0.021192,-0.018482,0.002192,-0.006830,-0.000125
0.988864,1.010427,1.003176,0.016344,-0.005343,-0.035018,-0.024776,0.009823,-0.002453,-0.000125
0.995828,1.002203,1.000718,0.012763,-0.010047,-0.037099,-0.012612,0.013533,0.016699,-0.000125
1.002079,1.017996,0.977302,0.017393,-0.014678,-0.046760,-0.021795,0.002868,0.038117,-0.000125
0.990132,1.019719,0.995587,0.036371,0.001010,-0.000444,-0.006789,-0.000664,0.012835,-0.000125
0.983937,1.029281,0.989660,0.021052,0.002160,-0.003612,-0.015286,-0.001406,0.005592,-0.000125
0.987175,1.026693,0.988699,0.018411,0.001793,-0.007908,-0.016714,-0.001073,-0.002365,-0.000125
0.985702,1.027870,0.989166,0.016799,0.001098,-0.013601,-0.018733,0.000639,-0.006405,-0.000125
0.984540,1.030551,0.988490,0.015860,-0.002115,-0.024966,-0.021890,0.001960,-0.007696,-0.000125
0.979179,1.038292,0.987026,0.016211,0.001791,-0.052087,-0.034944,0.007501,-0.006036,-0.000125
0.980809,1.032063,0.988654,0.037686,-0.018296,-0.107731,-0.080654,0.024728,0.021112,-0.000125
1.020587,0.982800,0.988025,0.026049,-0.047244,-0.092733,-0.020883,0.046507,0.057748,-0.000125
0.990840,1.023574,0.991439,0.033931,0.001431,-0.003411,-0.006735,-0.001598,0.025809,-0.000125
0.985160,1.030919,0.985870,0.020719,0.003053,-0.005735,-0.015317,-0.002514,0.004115,-0.000125
0.987357,1.027642,0.987625,0.019617,0.002547,-0.004025,-0.017542,-0.001396,-0.001681,-0.000125
0.984569,1.033721,0.984642,0.018097,0.000738,-0.005133,-0.019848,-0.000936,-0.004573,-0.000125
0.980293,1.044265,0.980219,0.016278,0.002235,-0.013334,-0.026585,0.002904,-0.004429,-0.000125
0.967308,1.074269,0.965892,0.021833,-0.007712,-0.035904,-0.046268,-0.006821,0.006489,-0.000125
0.952194,1.112761,0.951850,0.023458,0.020982,-0.096935,-0.097276,0.022647,0.021000,-0.000125
0.915849,1.150821,0.887701,0.114194,-0.023987,-0.360652,-0.355024,-0.059603,0.122639,-0.000125
0.996320,1.015466,0.992449,0.021090,-0.000978,0.003250,-0.001373,0.000816,-0.023395,-0.000125
0.990664,1.024890,0.987044,0.022225,-0.001987,0.005696,-0.006928,0.001514,-0.004914,-0.000125
0.989111,1.024803,0.988391,0.018755,-0.001921,0.003568,-0.013570,0.001305,0.001153,-0.000125
0.989222,1.027459,0.985969,0.016282,-0.002192,0.004677,-0.020364,0.000360,0.003696,-0.000125
0.988879,1.031589,0.983104,0.013475,-0.002546,0.008608,-0.032566,0.002359,0.003466,-0.000125
0.987487,1.040149,0.977040,0.010260,-0.007413,0.024933,-0.059680,-0.002438,-0.000597,-0.000125
0.995020,1.034663,0.972279,0.027450,-0.032911,0.075563,-0.120890,0.025070,-0.028851,-0.000125
0.995627,0.978683,1.015318,0.074465,-0.054700,0.015643,-0.113377,0.051943,-0.005665,-0.000125
0.996037,1.011752,0.995963,0.022540,-0.000472,0.000464,-0.001178,0.000364,-0.011808,-0.000125
0.990013,1.023360,0.990362,0.022664,-0.001353,0.003262,-0.006571,0.000745,-0.005496,-0.000125
0.988595,1.024561,0.989216,0.018619,-0.001722,0.007163,-0.013195,0.000345,0.001535,-0.000125
0.989915,1.022868,0.989993,0.016438,-0.001471,0.010887,-0.018310,-0.000220,0.004959,-0.000125
0.989631,1.023218,0.989337,0.014776,-0.002573,0.019919,-0.027488,-0.002316,0.005725,-0.000125
0.994798,1.016281,0.992705,0.017101,-0.005848,0.035833,-0.043778,-0.004943,-0.000161,-0.000125
0.994371,1.009351,0.991187,0.038000,0.002259,0.034383,-0.042791,0.004190,-0.023008,-0.000125
0.981079,1.035102,0.977501,0.052221,0.035741,0.063197,-0.072973,0.040959,-0.040862,-0.000125
0.995844,1.010520,0.997641,0.023287,-0.000275,0.000768,-0.001052,0.000153,-0.005412,-0.000125
0.989432,1.019972,0.994139,0.023234,-0.000711,0.002589,-0.006276,0.000343,-0.002788,-0.000125
0.988377,1.021039,0.993179,0.018527,-0.000819,0.005599,-0.012171,0.000061,0.000933,-0.000125
0.989837,1.018179,0.994148,0.016482,-0.001022,0.010085,-0.016300,-0.000661,0.003814,-0.000125
0.992194,1.012616,0.997458,0.015810,-0.000999,0.016345,-0.021001,-0.003125,0.004216,-0.000125
0.994217,1.007710,0.998034,0.018046,0.000295,0.019604,-0.022278,-0.003159,-0.002597,-0.000125
0.998581,1.009754,0.992184,0.022387,0.006856,0.029221,-0.029608,-0.001004,-0.013204,-0.000125
1.008703,1.007629,0.981090,0.024142,0.017065,0.027476,-0.023241,0.004056,-0.025888,-0.000125
0.995759,1.009625,0.998474,0.023638,-0.000076,0.000127,-0.000998,0.000070,-0.001526,-0.000125
0.989271,1.018231,0.996125,0.023414,-0.000171,0.000941,-0.006000,0.000068,-0.000822,-0.000125
0.988215,1.018539,0.995677,0.018583,-0.000298,0.002172,-0.011718,0.000115,0.000374,-0.000125
0.990243,1.014337,0.997566,0.016549,-0.000218,0.004028,-0.014508,-0.000682,0.001515,-0.000125
0.992285,1.009098,0.999926,0.015684,-0.000183,0.005127,-0.016163,-0.000622,0.000845,-0.000125
0.995694,1.004846,1.000447,0.015936,0.000759,0.008249,-0.017742,-0.001594,-0.000324,-0.000125
0.999680,1.003927,0.995472,0.016482,0.002215,0.007322,-0.015726,-0.001624,-0.004651,-0.000125
1.003123,1.013295,0.981473,0.016454,0.005599,0.009229,-0.015596,0.003655,-0.009348,-0.000125
0.995759,1.009625,0.998474,0.023638,0.000076,-0.000127,-0.000998,-0.000070,0.001526,-0.000125
0.989271,1.018231,0.996125,0.023414,0.000171,-0.000941,-0.006000,-0.000068,0.000822,-0.000125
0.988215,1.018539,0.995677,0.018583,0.000298,-0.002172,-0.011718,-0.000115,-0.000374,-0.000125
0.990243,1.014337,0.997566,0.016549,0.000218,-0.004028,-0.014508,0.000682,-0.001515,-0.000125
0.992285,1.009098,0.999926,0.015684,0.000183,-0.005127,-0.016163,0.000622,-0.000845,-0.000125
0.995694,1.004846,1.000447,0.015936,-0.000759,-0.008249,-0.017742,0.001594,0.000324,-0.000125
0.999680,1.003927,0.995472,0.016482,-0.002215,-0.007322,-0.015726,0.001624,0.004651,-0.000125
1.003123,1.013295,0.981473,0.016454,-0.005599,-0.009229,-0.015596,-0.003655,0.009348,-0.000125
0.995844,1.010520,0.997641,0.023287,0.000275,-0.000768,-0.001052,-0.000153,0.005412,-0.000125
0.989432,1.019972,0.994139,0.023234,0.000711,-0.002589,-0.006276,-0.000343,0.002788,-0.000125
0.988377,1.021039,0.993179,0.018527,0.000819,-0.005599,-0.012171,-0.000061,-0.000933,-0.000125
0.989837,1.018179,0.994148,0.016482,0.001022,-0.010085,-0.016300,0.000661,-0.003814,-0.000125
0.992194,1.012616,0.997458,0.015810,0.000999,-0.016345,-0.021001,0.003125,-0.004216,-0.000125
0.994217,1.007710,0.998034,0.018046,-0.000295,-0.019604,-0.022278,0.003159,0.002597,-0.000125
0.998581,1.009754,0.992184,0.022387,-0.006856,-0.029221,-0.029608,0.001004,0.013204,-0.000125
1.008703,1.007629,0.981090,0.024142,-0.017065,-0.027476,-0.023241,-0.004056,0.025888,-0.000125
0.996037,1.011752,0.995963,0.022540,0.000472,-0.000464,-0.001178,-0.000364,0.011808,-0.000125
0.990013,1.023360,0.990362,0.022664,0.001353,-0.003262,-0.006571,-0.000745,0.005496,-0.000125
0.988595,1.024561,0.989216,0.018619,0.001722,-0.007163,-0.013195,-0.000345,-0.001535,-0.000125
0.989915,1.022868,0.989993,0.016438,0.001471,-0.010887,-0.018310,0.000220,-0.004959,-0.000125
0.989631,1.023218,0.989337,0.014776,0.002573,-0.019919,-0.027488,0.002316,-0.005725,-0.000125
0.994798,1.016281,0.992705,0.017101,0.005848,-0.035833,-0.043778,0.004943,0.000161,-0.000125
0.994371,1.009351,0.991187,0.038000,-0.002259,-0.034383,-0.042791,-0.004190,0.023008,-0.000125
0.981079,1.035102,0.977501,0.052221,-0.035741,-0.063197,-0.072973,-0.040959,0.040862,-0.000125
0.996320,1.015466,0.992449,0.021090,0.000978,-0.003250,-0.001373,-0.000816,0.023395,-0.000125
0.990664,1.024890,0.987044,0.022225,0.001987,-0.005696,-0.006928,-0.001514,0.004914,-0.000125
0.989111,1.024803,0.988391,0.018755,0.001921,-0.003568,-0.013570,-0.001305,-0.001153,-0.000125
0.989222,1.027459,0.985969,0.016282,0.002192,-0.004677,-0.020364,-0.000360,-0.003696,-0.000125
0.988879,1.031589,0.983104,0.013475,0.002546,-0.008608,-0.032566,-0.002359,-0.003466,-0.000125
0.987487,1.040149,0.977040,0.010260,0.007413,-0.024933,-0.059680,0.002438,0.000597,-0.000125
0.995020,1.034663,0.972279,0.027450,0.032911,-0.075563,-0.120890,-0.025070,0.028851,-0.000125
0.995627,0.978683,1.015318,0.074465,0.054700,-0.015643,-0.113377,-0.051943,0.005665,-0.000125
0.998051,1.012784,0.993075,0.015461,-0.000768,0.003094,-0.001308,0.001010,-0.021570,-0.000125
0.994788,1.018944,0.988262,0.018936,-0.001731,0.005281,-0.004381,0.002113,-0.004938,-0.000125
0.993541,1.019495,0.989236,0.019243,-0.001708,0.003816,-0.008994,0.001680,0.000536,-0.000125
0.995220,1.019205,0.987788,0.017584,-0.002173,0.002802,-0.015761,0.001942,0.003629,-0.000125
0.998741,1.017564,0.986123,0.015351,-0.002528,0.005868,-0.025839,0.000386,0.003975,-0.000125
1.007444,1.010512,0.984941,0.015696,-0.010836,0.013897,-0.042388,0.005902,-0.000388,-0.000125
1.009283,0.998718,0.991081,0.031386,-0.015694,0.001248,-0.046759,0.010252,0.002797,-0.000125
0.988225,1.012616,0.996186,0.050077,-0.005009,0.007194,-0.056285,0.015954,-0.004739,-0.000125
0.997909,1.009337,0.996306,0.016486,-0.000258,0.000354,-0.001237,0.000492,-0.010951,-0.000125
0.994522,1.017518,0.990974,0.019307,-0.000692,0.003040,-0.004102,0.001052,-0.005411,-0.000125
0.993237,1.019290,0.989961,0.019273,-0.001115,0.006137,-0.008591,0.001051,0.001048,-0.000125
0.994196,1.017376,0.990532,0.018063,-0.001160,0.009185,-0.014238,0.000165,0.003994,-0.000125
0.998454,1.012111,0.991786,0.017123,-0.003056,0.013400,-0.021659,-0.000409,0.004020,-0.000125
1.000467,1.006961,0.992657,0.021933,-0.002759,0.014374,-0.025795,0.000554,-0.000122,-0.000125
0.996384,1.008391,0.995867,0.028657,-0.001409,0.020901,-0.037062,0.007649,-0.006819,-0.000125
0.986147,1.005278,1.006095,0.038036,0.002675,0.012621,-0.037664,0.017477,-0.010455,-0.000125
0.997723,1.008275,0.997777,0.016854,-0.000110,0.000707,-0.001193,0.000224,-0.005035,-0.000125
0.994082,1.014320,0.994495,0.019614,-0.000351,0.002280,-0.003866,0.000486,-0.002714,-0.000125
0.992491,1.016768,0.993379,0.019501,-0.000462,0.004904,-0.007894,0.000390,0.000480,-0.000125
0.993764,1.013741,0.994533,0.018242,-0.000823,0.008013,-0.012474,-0.000318,0.002838,-0.000125
0.995895,1.009246,0.996089,0.018538,-0.000521,0.010299,-0.015581,-0.000680,0.002366,-0.000125
0.998309,1.005500,0.997378,0.019756,-0.000055,0.013651,-0.019885,-0.000527,-0.000628,-0.000125
0.997802,1.004479,0.996102,0.024535,0.004895,0.012496,-0.020037,0.004245,-0.008247,-0.000125
0.991562,1.014966,0.990197,0.025876,0.017092,0.014999,-0.024342,0.016680,-0.013350,-0.000125
0.997609,1.007467,0.998594,0.017006,-0.000042,0.000101,-0.001161,0.000051,-0.001406,-0.000125
0.993797,1.012812,0.996361,0.019746,-0.000085,0.000845,-0.003737,0.000168,-0.000828,-0.000125
0.992178,1.014578,0.995802,0.019576,-0.000180,0.001919,-0.007399,0.000011,0.000269,-0.000125
0.993036,1.011910,0.996884,0.018442,-0.000095,0.002830,-0.010997,-0.000000,0.000813,-0.000125
0.995343,1.007323,0.998708,0.018141,-0.000201,0.004297,-0.013544,-0.000596,0.001011,-0.000125
0.997213,1.004076,0.998933,0.018759,0.000729,0.004291,-0.014509,0.000080,-0.000787,-0.000125
0.998514,1.005769,0.995134,0.018946,0.002365,0.005581,-0.015453,0.001285,-0.003012,-0.000125
0.998721,1.011933,0.987288,0.017640,0.003993,0.004821,-0.015103,0.002160,-0.004833,-0.000125
0.997609,1.007467,0.998594,0.017006,0.000042,-0.000101,-0.001161,-0.000051,0.001406,-0.000125
0.993797,1.012812,0.996361,0.019746,0.000085,-0.000845,-0.003737,-0.000168,0.000828,-0.000125
0.992178,1.014578,0.995802,0.019576,0.000180,-0.001919,-0.007399,-0.000011,-0.000269,-0.000125
0.993036,1.011910,0.996884,0.018442,0.000095,-0.002830,-0.010997,0.000000,-0.000813,-0.000125
0.995343,1.007323,0.998708,0.018141,0.000201,-0.004297,-0.013544,0.000596,-0.001011,-0.000125
0.997213,1.004076,0.998933,0.018759,-0.000729,-0.004291,-0.014509,-0.000080,0.000787,-0.000125
0.998514,1.005769,0.995134,0.018946,-0.002365,-0.005581,-0.015453,-0.001285,0.003012,-0.000125
0.998721,1.011933,0.987288,0.017640,-0.003993,-0.004821,-0.015103,-0.002160,0.004833,-0.000125
0.997723,1.008275,0.997777,0.016854,0.000110,-0.000707,-0.001193,-0.000224,0.005035,-0.000125
0.994082,1.014320,0.994495,0.019614,0.000351,-0.002280,-0.003866,-0.000486,0.002714,-0.000125
